student_id,registration_date,age,gender,education_level,device_type,target_course_id,completion_status,completion_date,reg_date,reg_year,reg_month,reg_month_name,reg_day,reg_weekday,reg_weekday_name,reg_is_weekend,reg_week,reg_week_number,age_outlier_class,age_is_outlier,reg_year_outlier_class,reg_year_is_outlier,reg_month_outlier_class,reg_month_is_outlier,reg_day_outlier_class,reg_day_is_outlier,reg_weekday_outlier_class,reg_weekday_is_outlier,reg_is_weekend_outlier_class,reg_is_weekend_is_outlier,reg_week_outlier_class,reg_week_is_outlier,reg_week_number_outlier_class,reg_week_number_is_outlier,course_id,course_title,category,total_modules,total_quizzes,estimated_duration_hours,difficulty_level,total_modules_outlier_class,total_modules_is_outlier,total_quizzes_outlier_class,total_quizzes_is_outlier,estimated_duration_hours_outlier_class,estimated_duration_hours_is_outlier,total_sessions,total_duration_minutes,total_active_minutes,total_idle_minutes,avg_session_duration,last_session_date,active_learning_ratio,total_quiz_attempts,quizzes_passed,quizzes_failed,avg_quiz_score,max_quiz_score,latest_quiz_date,quiz_pass_rate,progress_pct,tenure_weeks,average_session_duration,sessions_per_week,quiz_average,quiz_attempt_count,course_progress,progress_velocity,days_since_last_activity,completion_rate,learning_consistency,engagement_score,dropout_risk_score,dropout_risk_level
S0001,2026-01-01,20,Other,Postgraduate,Mobile,C002,In Progress,,2026-01-01,2026,1,January,1,3,Thursday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,5.0,300.0,281.8,49.3,60.0,2026-03-04 18:00:00,0.939,1.0,1.0,0.0,76.1,76.1,2026-02-12,100.0,20.0,12.0,60.0,0.42,76.1,1,20.0,1.67,21,0.0,0.501,52.4,34.83,Moderate
S0002,2026-01-01,38,Male,High School,Desktop,C004,Completed,,2026-01-01,2026,1,January,1,3,Thursday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,4.0,240.0,237.0,43.2,60.0,2026-02-26 18:00:00,0.988,2.0,1.0,1.0,89.55,97.4,2026-02-19,50.0,25.0,12.0,60.0,0.33,89.55,2,25.0,2.08,27,1.0,0.495,41.82,43.09,Moderate
S0003,2026-01-01,35,Female,Postgraduate,Mobile,C002,Completed,,2026-01-01,2026,1,January,1,3,Thursday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,2.0,120.0,92.0,28.6,60.0,2026-02-12 12:00:00,0.767,3.0,2.0,1.0,77.43,95.1,2026-03-12,66.67,40.0,12.0,60.0,0.17,77.43,3,40.0,3.33,14,1.0,0.357,45.07,34.82,Moderate
S0004,2026-01-01,29,Female,High School,Desktop,C003,Completed,,2026-01-01,2026,1,January,1,3,Thursday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C003,Machine Learning Fundamentals,AI & Machine Learning,15,8,30.0,Advanced,Normal,0,Normal,0,Normal,0,1.0,60.0,85.8,18.0,60.0,2026-02-10 00:00:00,1.43,3.0,1.0,2.0,71.07,72.8,2026-03-13,33.33,12.5,12.0,60.0,0.08,71.07,3,12.5,1.04,13,1.0,0.425,32.58,41.54,Moderate
S0005,2026-01-02,29,Female,Postgraduate,Desktop,C002,In Progress,,2026-01-02,2026,1,January,2,4,Friday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,4.0,240.0,213.2,48.2,60.0,2026-02-23 00:00:00,0.888,5.0,5.0,0.0,61.76,89.8,2026-03-09,100.0,100.0,11.86,60.0,0.34,61.76,5,100.0,8.43,17,0.0,0.456,74.89,21.48,Low
S0006,2026-01-02,41,Male,Postgraduate,Tablet,C002,Completed,,2026-01-02,2026,1,January,2,4,Friday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,4.0,240.0,304.3,47.2,60.0,2026-03-09 12:00:00,1.268,1.0,1.0,0.0,97.2,97.2,2026-03-08,100.0,20.0,11.86,60.0,0.34,97.2,1,20.0,1.69,16,1.0,0.501,53.12,31.84,Moderate
S0007,2026-01-02,20,Female,Postgraduate,Laptop,C004,Dropped,,2026-01-02,2026,1,January,2,4,Friday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,6.0,360.0,222.5,62.2,60.0,2026-02-24 00:00:00,0.618,1.0,1.0,0.0,53.9,53.9,2026-03-15,100.0,25.0,11.86,60.0,0.51,53.9,1,25.0,2.11,11,0.0,0.399,48.05,31.75,Moderate
S0008,2026-01-02,36,Male,Undergraduate,Tablet,C004,In Progress,,2026-01-02,2026,1,January,2,4,Friday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,5.0,300.0,198.4,35.9,60.0,2026-02-28 18:00:00,0.661,3.0,2.0,1.0,78.87,91.9,2026-02-19,66.67,50.0,11.86,60.0,0.42,78.87,3,50.0,4.22,25,0.0,0.391,47.51,39.37,Moderate
S0009,2026-01-03,23,Other,Undergraduate,Tablet,C002,Completed,,2026-01-03,2026,1,January,3,5,Saturday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C002,SQL Database Analytics,Database,10,5,18.0,Intermediate,Normal,0,Normal,0,Normal,0,3.0,180.0,117.4,28.7,60.0,2026-03-02 00:00:00,0.652,5.0,3.0,2.0,92.16,98.6,2026-03-17,60.0,60.0,11.71,60.0,0.26,92.16,5,60.0,5.12,9,1.0,0.338,47.66,30.9,Moderate
S0010,2026-01-03,20,Other,Postgraduate,Mobile,C004,In Progress,,2026-01-03,2026,1,January,3,5,Saturday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,C004,Web Development,Development,8,4,12.0,Beginner,Normal,0,Normal,0,Normal,0,3.0,180.0,139.9,28.3,60.0,2026-03-02 12:00:00,0.777,2.0,1.0,1.0,56.4,60.3,2026-03-22,50.0,25.0,11.71,60.0,0.26,56.4,2,25.0,2.13,4,0.0,0.388,37.16,33.52,Moderate
