student_id,registration_date,age,gender,education_level,device_type,target_course_id,completion_status,completion_date,reg_date,reg_year,reg_month,reg_month_name,reg_day,reg_weekday,reg_weekday_name,reg_is_weekend,reg_week,reg_week_number,age_outlier_class,age_is_outlier,reg_year_outlier_class,reg_year_is_outlier,reg_month_outlier_class,reg_month_is_outlier,reg_day_outlier_class,reg_day_is_outlier,reg_weekday_outlier_class,reg_weekday_is_outlier,reg_is_weekend_outlier_class,reg_is_weekend_is_outlier,reg_week_outlier_class,reg_week_is_outlier,reg_week_number_outlier_class,reg_week_number_is_outlier
S0001,2026-01-01,20,Other,Postgraduate,Mobile,C002,In Progress,,2026-01-01,2026,1,January,1,3,Thursday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0002,2026-01-01,38,Male,High School,Desktop,C004,Completed,,2026-01-01,2026,1,January,1,3,Thursday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0003,2026-01-01,35,Female,Postgraduate,Mobile,C002,Completed,,2026-01-01,2026,1,January,1,3,Thursday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0004,2026-01-01,29,Female,High School,Desktop,C003,Completed,,2026-01-01,2026,1,January,1,3,Thursday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0005,2026-01-02,29,Female,Postgraduate,Desktop,C002,In Progress,,2026-01-02,2026,1,January,2,4,Friday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0006,2026-01-02,41,Male,Postgraduate,Tablet,C002,Completed,,2026-01-02,2026,1,January,2,4,Friday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0007,2026-01-02,20,Female,Postgraduate,Laptop,C004,Dropped,,2026-01-02,2026,1,January,2,4,Friday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0008,2026-01-02,36,Male,Undergraduate,Tablet,C004,In Progress,,2026-01-02,2026,1,January,2,4,Friday,0,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0009,2026-01-03,23,Other,Undergraduate,Tablet,C002,Completed,,2026-01-03,2026,1,January,3,5,Saturday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0010,2026-01-03,20,Other,Postgraduate,Mobile,C004,In Progress,,2026-01-03,2026,1,January,3,5,Saturday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0011,2026-01-03,32,Other,High School,Mobile,C002,Completed,,2026-01-03,2026,1,January,3,5,Saturday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0012,2026-01-03,44,Other,Postgraduate,Tablet,C003,Dropped,,2026-01-03,2026,1,January,3,5,Saturday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0013,2026-01-04,37,Female,Undergraduate,Desktop,C004,In Progress,,2026-01-04,2026,1,January,4,6,Sunday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0014,2026-01-04,38,Other,Undergraduate,Desktop,C002,In Progress,,2026-01-04,2026,1,January,4,6,Sunday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0015,2026-01-04,37,Female,Undergraduate,Desktop,C003,Completed,,2026-01-04,2026,1,January,4,6,Sunday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0016,2026-01-04,39,Male,Undergraduate,Mobile,C002,In Progress,,2026-01-04,2026,1,January,4,6,Sunday,1,1,1,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0017,2026-01-05,31,Other,High School,Desktop,C001,In Progress,,2026-01-05,2026,1,January,5,0,Monday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
S0018,2026-01-05,21,Female,High School,Laptop,C001,Dropped,,2026-01-05,2026,1,January,5,0,Monday,0,2,2,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
