customer_id,total_transactions,days_as_customer,total_spent,days_since_last_purchase,purchase_count,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
C0001,18,1481,3150.05,116,99,0.36461850101282917,175.0027777777778,63.809250506414585,low,Q1,4,1,1,6
C0002,155,1353,22940.19,308,17,3.4368070953436805,148.0012258064516,508.65166297117514,medium,Q2,1,1,3,5
C0003,131,1032,6495.05,13,314,3.808139534883721,49.58053435114504,188.80959302325581,medium,Q1,5,4,1,10
C0004,88,1621,7658.72,163,342,1.6286243059839607,87.03090909090909,141.74065391733498,low,Q1,3,4,1,8
C0005,87,260,31632.53,293,387,10.038461538461538,363.5922988505747,3649.9073076923078,high,Q3,1,4,4,9
C0006,172,1684,19676.72,348,476,3.0641330166270784,114.39953488372093,350.5353919239905,medium,Q2,1,5,2,8
C0007,18,1557,46096.53,92,249,0.3468208092485549,2560.918333333333,888.1797687861272,low,Q4,4,3,5,12
C0008,140,934,15991.87,238,415,4.496788008565311,114.22764285714287,513.657494646681,medium,Q2,2,5,2,9
C0009,41,1347,36322.7,70,359,0.9131403118040089,885.9195121951219,808.9688195991091,low,Q3,5,4,4,13
C0010,19,964,23081.92,43,139,0.5912863070539419,1214.837894736842,718.3170124481327,low,Q2,5,2,3,10
C0011,106,512,33014.57,129,423,6.2109375,311.4582075471698,1934.4474609375,medium,Q3,4,5,4,13
C0012,196,1466,30004.78,324,27,4.0109140518417465,153.08561224489796,614.013233287858,medium,Q3,1,1,3,5
C0013,148,471,23665.56,252,300,9.426751592356688,159.90243243243245,1507.3605095541402,medium,Q2,2,4,3,9
C0014,153,594,47505.55,179,471,7.727272727272727,310.49379084967325,2399.2702020202023,medium,Q4,3,5,5,13
C0015,144,962,17168.55,104,330,4.49064449064449,119.22604166666666,535.4017671517671,medium,Q2,4,4,2,10
C0016,158,1533,8902.91,52,469,3.091976516634051,56.34753164556962,174.2252446183953,medium,Q1,5,5,1,11
C0017,103,719,33920.8,99,29,4.297635605006954,329.32815533980585,1415.3324061196108,medium,Q3,4,1,4,9
C0018,26,917,42308.08,56,267,0.8505997818974919,1627.2338461538461,1384.1247546346783,low,Q4,5,3,5,13
C0019,168,104,2060.67,69,391,48.46153846153846,12.265892857142857,594.4240384615384,high,Q1,5,4,1,10
C0020,91,238,22509.15,251,322,11.470588235294118,247.3532967032967,2837.2878151260506,high,Q2,2,4,3,9
C0021,101,130,44629.76,49,441,23.30769230769231,441.87881188118814,10299.175384615386,high,Q4,5,5,5,15
C0022,75,159,37493.45,18,232,14.150943396226415,499.9126666666666,7074.235849056604,high,Q3,5,3,4,12
C0023,37,1589,49590.8,198,342,0.698552548772813,1340.291891891892,936.2643171806168,low,Q4,3,4,5,12
C0024,186,1542,26594.12,105,210,3.6186770428015564,142.97913978494623,517.3953307392997,medium,Q3,4,3,3,10
C0025,157,1506,33016.79,166,437,3.1274900398406373,210.298025477707,657.7049800796813,medium,Q3,3,5,4,12
C0026,129,129,15158.89,52,60,30.0,117.51077519379845,3525.3232558139534,high,Q2,5,1,2,8
C0027,81,169,47379.4,77,128,14.37869822485207,584.9308641975309,8410.544378698225,high,Q4,4,2,5,11
C0028,165,533,18348.46,161,49,9.287054409005629,111.20278787878787,1032.7463414634146,medium,Q2,3,1,2,6
C0029,110,1045,36938.61,252,352,3.157894736842105,335.80554545454544,1060.4385645933014,medium,Q3,2,4,4,10
C0030,89,630,20186.85,152,117,4.238095238095238,226.8185393258427,961.2785714285714,medium,Q2,3,2,2,7
C0031,91,905,28112.86,198,159,3.016574585635359,308.93252747252745,931.9180110497238,medium,Q3,3,2,3,8
C0032,46,340,36003.14,191,419,4.0588235294117645,782.6769565217392,3176.7476470588235,medium,Q3,3,5,4,12
C0033,19,1342,25471.26,99,181,0.4247391952309985,1340.5926315789472,569.4022354694486,low,Q3,4,2,3,9
C0034,111,593,45358.96,103,73,5.615514333895447,408.63927927927926,2294.7197301854976,medium,Q4,4,1,5,10
C0035,178,149,20994.08,156,11,35.83892617449664,117.94426966292136,4226.995973154362,high,Q2,3,1,3,7
C0036,13,1363,32371.24,12,114,0.2861335289801908,2490.095384615385,712.4997798972855,low,Q3,5,2,4,11
C0037,172,1651,17151.0,251,458,3.125378558449425,99.71511627906976,311.6474863718958,medium,Q2,2,5,2,9
C0038,166,56,20437.43,225,275,88.92857142857143,123.11704819277108,10948.623214285713,high,Q2,2,3,2,7
C0039,56,814,22030.5,112,498,2.063882063882064,393.4017857142857,811.9348894348894,medium,Q2,4,5,3,12
C0040,127,1515,6334.06,137,108,2.514851485148515,49.87448818897638,125.42693069306931,medium,Q1,4,2,1,7
C0041,34,1298,4631.6,120,176,0.7858243451463791,136.22352941176473,107.04776579352851,low,Q1,4,2,1,7
C0042,152,1568,33391.12,238,82,2.9081632653061225,219.6784210526316,638.8607142857144,medium,Q3,2,1,4,7
C0043,141,775,32793.11,278,200,5.458064516129032,232.57524822695035,1269.4107096774194,medium,Q3,2,2,4,8
C0044,71,698,33162.34,40,282,3.051575931232092,467.0752112676056,1425.3154727793694,medium,Q3,5,3,4,12
C0045,14,1303,1037.33,151,405,0.32233307751343054,74.095,23.883269378357635,low,Q1,3,5,1,9
C0046,195,305,16361.01,6,185,19.18032786885246,83.90261538461539,1609.2796721311477,high,Q2,5,2,2,9
