hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
0,71.16,1527.61,203.94,577.87,274.59,653.98,402.03000000000003
1,824.37,463.45,587.89,527.33,386.44,0.0,1477.27
2,680.47,103.05,1355.99,17.73,55.6,577.41,0.0
3,359.64,168.84,216.74,48.69,577.98,72.91,628.68
4,498.74,21.97,557.99,846.31,474.4,228.81,495.12
5,379.53,933.1400000000001,442.34,865.56,0.0,684.97,560.12
6,0.0,235.96,633.79,2061.91,0.0,793.98,96.31
7,1186.03,357.3,95.17,498.12,417.06,974.05,860.53
8,917.9100000000001,262.57,205.71,275.28,670.47,370.51,455.02
9,288.86,263.15,259.35,507.02,59.0,852.04,510.81
10,0.0,677.71,1018.12,264.16999999999996,1019.3,377.02,0.0
11,774.02,1603.6,346.82,628.66,264.89,1309.39,339.67
12,252.24,502.78,302.32,83.91,399.52,0.0,467.1
13,582.96,0.0,852.51,335.11,403.66999999999996,363.6,1143.09
14,816.23,833.7,631.62,1126.97,441.36,276.79,946.02
15,893.99,0.0,0.0,0.0,347.45,244.57,187.12
16,522.35,822.3199999999999,0.0,196.6,909.5799999999999,200.84,364.53999999999996
17,881.25,0.0,133.19,180.13,0.0,139.62,0.0
18,766.4300000000001,181.33,0.0,926.54,1192.71,933.63,404.07
19,436.55,107.69,185.54,126.89,0.0,1479.1299999999999,562.88
20,671.3199999999999,460.58,737.16,886.95,309.72,483.02,287.3
21,364.54999999999995,784.76,0.0,145.18,496.49,317.45,305.0
22,693.62,765.74,0.0,353.07000000000005,253.86,606.98,0.0
23,210.17,559.42,668.8199999999999,0.0,731.8199999999999,190.57999999999998,88.01
